label,elbow_offset,back_lean,wrist_velocity,shoulder_shrug,elbow_flare,neck_angle,rep_phase,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33
1,0.0034464002,4.5640755,0,0.13293336,0.0034464002,162.6989,1,0.4951992928981781,0.2305358201265335,0.508533775806427,0.20383517444133759,0.4872296452522278,0.21006378531455994,0.5437191724777222,0.20725764334201813,0.4917677044868469,0.22106598317623138,0.5737673044204712,0.3401910066604614,0.484089195728302,0.32893574237823486,0.577213704586029,0.4742460548877716,0.43388471007347107,0.43371543288230896,0.5625287890434265,0.32498273253440857,0.4230809509754181,0.3259473145008087,0.5470069646835327,0.6754201054573059,0.4851072430610657,0.6674801111221313,0.5412273406982422,0.8874650597572327,0.4779161512851715,0.8747019171714783,0.5649648904800415,1.0,0.4862799048423767,0.9947875738143921
1,0.0036646724,4.583248,0.011700392,0.13224506,0.0036646724,162.57368,0,0.49517497420310974,0.2306148111820221,0.5084748864173889,0.20399810373783112,0.48723167181015015,0.21016833186149597,0.5435246229171753,0.20742526650428772,0.4917309880256653,0.2211773693561554,0.5736744999885559,0.339670330286026,0.4838557243347168,0.3293420076370239,0.5773391723632812,0.47462204098701477,0.434151291847229,0.43687260150909424,0.5626456141471863,0.3248657286167145,0.4231320321559906,0.3269842565059662,0.5467871427536011,0.6750754714012146,0.48475420475006104,0.6673755049705505,0.5414279103279114,0.8880615234375,0.4777330756187439,0.8750874996185303,0.5645312666893005,1.0,0.48583146929740906,0.9958823919296265
1,0.0062636137,5.1392393,0.7259995,0.13500407,0.0062636137,163.06372,0,0.49417009949684143,0.22858840227127075,0.5076907277107239,0.2026081532239914,0.4870010316371918,0.2074601948261261,0.5442864894866943,0.20797187089920044,0.4906395375728607,0.22038604319095612,0.5724830627441406,0.3429759442806244,0.48041003942489624,0.3361656367778778,0.5787466764450073,0.46322813630104065,0.4371108412742615,0.4363492429256439,0.5630123615264893,0.31760573387145996,0.42170432209968567,0.33201855421066284,0.5433927774429321,0.666424572467804,0.48141002655029297,0.6586936712265015,0.5453697443008423,0.8845314979553223,0.4779801368713379,0.8725050091743469,0.5655232071876526,1.0,0.4845883548259735,1.0
1,0.00645113,5.2442126,0.8637935,0.13205543,0.00645113,162.20277,-1,0.4934183955192566,0.22984987497329712,0.5071271061897278,0.2034444957971573,0.4863473176956177,0.20863530039787292,0.5447231531143188,0.20680734515190125,0.4902592599391937,0.22009184956550598,0.5741273760795593,0.3388627767562866,0.4804714322090149,0.3347734212875366,0.5805785059928894,0.4616970419883728,0.43868133425712585,0.43755555152893066,0.5610130429267883,0.32624366879463196,0.41998395323753357,0.33504998683929443,0.5440636277198792,0.6664074659347534,0.481067031621933,0.6589803695678711,0.5455858707427979,0.8857635259628296,0.4772892892360687,0.8728522658348083,0.5652950406074524,1.0,0.4859791100025177,1.0
1,0.008606851,4.9571533,0.42245686,0.13042258,0.008606851,161.9642,-1,0.4931832551956177,0.2275775969028473,0.5068710446357727,0.20183397829532623,0.4862816035747528,0.2068912237882614,0.5440647006034851,0.206561878323555,0.4900919795036316,0.2195873260498047,0.5743637681007385,0.33698445558547974,0.4806596040725708,0.335295706987381,0.5829706192016602,0.4596814811229706,0.4399009943008423,0.43965038657188416,0.5591555237770081,0.33046823740005493,0.4187515676021576,0.33892831206321716,0.5458101034164429,0.666189968585968,0.4825083911418915,0.6594652533531189,0.5468586087226868,0.8866787552833557,0.4770755171775818,0.875754177570343,0.5654353499412537,1.0,0.48595839738845825,1.0
1,0.007673204,5.1287274,0.14123619,0.13011235,0.007673204,161.34767,0,0.49335530400276184,0.2249365895986557,0.506999135017395,0.19948920607566833,0.4866374135017395,0.2047303020954132,0.5443632006645203,0.2051045298576355,0.4906262457370758,0.21862640976905823,0.5756571292877197,0.3352168798446655,0.4795371890068054,0.33587342500686646,0.5833303332328796,0.46444228291511536,0.4381110370159149,0.4514562785625458,0.5585445165634155,0.3318805992603302,0.41672977805137634,0.34656965732574463,0.5459442138671875,0.6662690043449402,0.4811275601387024,0.6600167155265808,0.5473937392234802,0.8907113671302795,0.4762696325778961,0.8779709339141846,0.5663923621177673,1.0,0.48724567890167236,1.0
1,0.007673204,5.1287274,0.0,0.13011235,0.007673204,161.34767,0,0.49335530400276184,0.2249365895986557,0.506999135017395,0.19948920607566833,0.4866374135017395,0.2047303020954132,0.5443632006645203,0.2051045298576355,0.4906262457370758,0.21862640976905823,0.5756571292877197,0.3352168798446655,0.4795371890068054,0.33587342500686646,0.5833303332328796,0.46444228291511536,0.4381110370159149,0.4514562785625458,0.5585445165634155,0.3318805992603302,0.41672977805137634,0.34656965732574463,0.5459442138671875,0.6662690043449402,0.4811275601387024,0.6600167155265808,0.5473937392234802,0.8907113671302795,0.4762696325778961,0.8779709339141846,0.5663923621177673,1.0,0.48724567890167236,1.0
1,0.010246873,5.1531315,0.85994303,0.1297553,0.010246873,160.29602,0,0.4931491017341614,0.22600479423999786,0.5065517425537109,0.2000417858362198,0.4866878390312195,0.2055215984582901,0.5437012314796448,0.20362718403339386,0.4910084903240204,0.2177840769290924,0.5773811340332031,0.3333824872970581,0.47866564989089966,0.3379051089286804,0.5876280069351196,0.463486909866333,0.43711578845977783,0.45781150460243225,0.5613396167755127,0.3404800295829773,0.41358014941215515,0.35141703486442566,0.5472451448440552,0.6675496697425842,0.48126545548439026,0.6621547937393188,0.5482466220855713,0.8869472742080688,0.47526830434799194,0.8736768960952759,0.5650833249092102,1.0,0.4866822361946106,1.0
1,0.009670019,5.4778934,0.073462725,0.13020247,0.009670019,159.26865,-1,0.493203341960907,0.2242933064699173,0.5066034197807312,0.19831854104995728,0.48729345202445984,0.20395007729530334,0.5449773669242859,0.20192015171051025,0.4927804172039032,0.21667425334453583,0.580483078956604,0.3321226239204407,0.4798576235771179,0.33746811747550964,0.5901530981063843,0.4645332396030426,0.43693336844444275,0.45890408754348755,0.5584000945091248,0.3397454023361206,0.4104652404785156,0.3489542603492737,0.5479479432106018,0.6713851094245911,0.48068132996559143,0.6652172207832336,0.5495747327804565,0.8948306441307068,0.4750252664089203,0.8789048790931702,0.5660733580589294,1.0,0.4873107969760895,1.0
1,0.006890714,5.308457,0.68577826,0.12994243,0.006890714,160.50462,1,0.49310511350631714,0.22321100533008575,0.5066456198692322,0.1976557821035385,0.48751574754714966,0.20273561775684357,0.5453602075576782,0.20241563022136688,0.4935897886753082,0.21571655571460724,0.5782091617584229,0.33235806226730347,0.48173293471336365,0.33528217673301697,0.5850998759269714,0.4651556611061096,0.4380049705505371,0.4581665098667145,0.5571753978729248,0.3328876197338104,0.4102385640144348,0.34911319613456726,0.5466795563697815,0.6716926097869873,0.48139527440071106,0.6650931239128113,0.5491806864738464,0.8965598344802856,0.47475510835647583,0.8814303874969482,0.5676778554916382,1.0,0.4846181869506836,1.0
